in:fs_0,in:fs_1,in:fs_2,in:fs_3,in:fs_4,in:fs_5,in:fs_6,in:fs_7,in:fs_8,in:fs_9,in:fs_10,in:fs_11,in:fs_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.1,0.12,0.34,0.73,0.75,0.89,0.86,0.11,0.14,0,0,0,0,776,2,0,2.27,11.79,0.45,12.96,160,Frame_00160.png
0.52,0.96,0.56,0.13,0.8,0.06,0.78,0,0,0,0,0,0,777.2,2,0,3.26,11.93,4.5,10,161,Frame_00161.png
0.13,0.69,0.86,0.31,0.2,0.24,0.71,0,0,0,0,0,0,783.8,2,0,3,11.92,2.1,16.98,162,Frame_00162.png
0.95,0.04,0.19,0.44,0.43,0.05,0.87,0.52,0.55,0,0,0,0,788.9,2,0,3,11.26,1.5,10.15,163,Frame_00163.png
0.67,0.81,0.4,0.45,0.76,0.71,0.94,0.88,0.83,0.26,0,0,0,791.1,2,0,2.24,11.97,0.1,14.24,164,Frame_00164.png
0.51,0.97,0.58,0.14,0.13,0.8,0.92,0,0,0,0,0,0,800.4,2,0,3,12,1.6,12.36,165,Frame_00165.png
0.19,0.63,0.84,0.02,0.11,0.94,0.96,0.96,0.21,0.56,0,0,0,818.7,2,0,2.01,11.69,0.75,15.04,166,Frame_00166.png
0.69,0.69,0.67,0.98,0.6,0.83,0.55,0,0,0,0,0,0,820.3,2,0,2.06,12,1.85,14.54,167,Frame_00167.png
0.97,0.1,0.49,0.14,0.6,0.99,0.11,0.73,0,0,0,0,0,825.2,2,0,2.95,11.9,3.7,12.96,168,Frame_00168.png
0.97,0.54,0.5,0.04,0.6,0.85,0.82,0.01,0.48,0.41,0,0,0,831.6,2,0,2.56,11.82,0.95,13.91,169,Frame_00169.png
0.45,0.45,0.21,0.05,0.69,0.99,0.01,0.66,0,0,0,0,0,855.3,2,0,2.91,11.94,1.45,18.29,170,Frame_00170.png
0.42,0.07,0.4,0.24,0.76,0.28,0.17,0.25,0.16,0,0,0,0,862.2,2,0,2.89,10.98,0.75,14.07,171,Frame_00171.png
0.17,0.21,0.87,0.9,0.62,0.48,0.63,0.16,0,0,0,0,0,909.9,2,0,3.31,11.56,0.8,16.72,172,Frame_00172.png
0.61,0.23,0.27,0.99,0.57,0.02,0.1,0.13,0.56,0.06,0.56,0,0,910.5,2,0,2.7,11.85,1.15,13.4,173,Frame_00173.png
0.47,0.17,0.17,0.17,0.25,0.63,0.76,0.62,0.91,0,0,0,0,917.2,2,0,2.57,11.55,1.3,16.74,174,Frame_00174.png
0.35,0.08,0.33,0.67,0.57,0.01,0.42,0.65,0.47,0,0,0,0,941,2,0,3,10.77,1.5,18.37,175,Frame_00175.png
0.44,0.29,0.56,0.78,0.77,0.48,0.64,0.28,0.94,0.24,0.28,0,0,945.2,2,0,2.08,11.61,1.04,13.94,176,Frame_00176.png
0.1,0.47,0.08,0.2,0.61,0.7,0.35,0.97,0,0,0,0,0,1088.4,2,0,3.15,11.98,1,17.22,177,Frame_00177.png
